dataset,parameter,level,meanACC,stdACC,maxACC,meanNMI,meanAnchorTotal,minAnchorTotal,maxAnchorTotal,nearOptimalRatio
Caltech101-all,beta,10,0.262463141181426,0.0131388616404308,0.280238407699038,0.438915857865301,454.555555555556,218,968,0.407407407407407
Caltech101-all,beta,100,0.224982583195619,0.0150437991957919,0.250656167979003,0.455868678568233,454.555555555556,218,968,0
Caltech101-all,lambda,100,0.245175950228444,0.0245750087653179,0.27545384951881,0.445819523212297,454.555555555556,218,968,0.222222222222222
Caltech101-all,lambda,1000,0.242997837075921,0.023015163548487,0.280238407699038,0.448076257410243,454.555555555556,218,968,0.166666666666667
Caltech101-all,lambda,10000,0.242994799261203,0.0226983816273161,0.279363517060367,0.448281024027761,454.555555555556,218,968,0.222222222222222
Caltech101-all,lambdaBIC,1,0.253062117235346,0.0220283331971194,0.280238407699038,0.455839526673013,581,260,968,0.333333333333333
Caltech101-all,lambdaBIC,2,0.247237107514338,0.0224640343708988,0.27545384951881,0.448873877084045,476,251,730,0.277777777777778
Caltech101-all,lambdaBIC,4,0.230869361815884,0.0199335937261915,0.265884733158355,0.437463400893243,306.666666666667,218,383,0
Caltech101-all,minNodeSize,40,0.249811655487508,0.0198467524228853,0.277859798775153,0.45088468966237,693.666666666667,383,968,0.222222222222222
Caltech101-all,minNodeSize,80,0.24939091814912,0.0228378306525615,0.280238407699038,0.449845241695339,427,319,515,0.333333333333333
Caltech101-all,minNodeSize,160,0.231966012928939,0.0230027972646145,0.270641951006124,0.441446873292591,243,218,260,0.0555555555555556
MFeat_2Views,beta,1,0.474148148148148,0.0479020271964936,0.5196875,0.449763265189206,147.444444444444,70,319,0
MFeat_2Views,beta,10,0.575817129629629,0.0876401752952877,0.6975,0.56463976943718,147.444444444444,70,319,0
MFeat_2Views,beta,100,0.794206018518519,0.147355604359763,0.8995,0.751705201623923,147.444444444444,70,319,0.444444444444444
MFeat_2Views,lambda,1000,0.614231481481482,0.168930325304628,0.8995,0.587381701036911,147.444444444444,70,319,0.148148148148148
MFeat_2Views,lambda,10000,0.613402777777778,0.167912055641589,0.8995,0.587671192866077,147.444444444444,70,319,0.148148148148148
MFeat_2Views,lambda,100000,0.616537037037037,0.168644596076083,0.8995,0.591055342347321,147.444444444444,70,319,0.148148148148148
MFeat_2Views,lambdaBIC,0.5,0.575162037037037,0.179173461805299,0.8995,0.542628584229355,182.666666666667,74,319,0.111111111111111
MFeat_2Views,lambdaBIC,1,0.609574074074074,0.165617146946108,0.8995,0.586075741484454,168.333333333333,74,277,0.111111111111111
MFeat_2Views,lambdaBIC,2,0.659435185185185,0.148510130361107,0.867125,0.637403910536499,91.3333333333333,70,106,0.222222222222222
MFeat_2Views,minNodeSize,10,0.527027777777778,0.158157468425215,0.8634375,0.497348822846549,234,106,319,0.111111111111111
