dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
Wikifea,1,100,0.5,10,0.198127471505001,0.0662038993829646,0.224936031635264,0.145980854781509,439,2,51,46.7895902,1.3910443,48.1806345
Wikifea,1,1000,0.5,10,0.202896022330775,0.0733465697350622,0.232321470109328,0.155084740386878,439,2,51,16.2069934,1.3910443,17.5980377
Wikifea,1,10000,0.5,10,0.218248429867411,0.084549261152961,0.242789020702489,0.162838211415865,439,2,51,4.8064443,1.3910443,6.1974886
Wikifea,10,100,0.5,10,0.390963014654571,0.316063474665461,0.430681553849733,0.27602967224359,439,2,51,27.6301569,1.3910443,29.0212012
Wikifea,10,1000,0.5,10,0.290300069783671,0.18315474589997,0.320714119562689,0.1940341331794,439,2,51,32.6567979,1.3910443,34.0478422
Wikifea,10,10000,0.5,10,0.31751570132589,0.240004952630153,0.351244475459409,0.216812880866912,439,2,51,15.2010525,1.3910443,16.5920968
Wikifea,100,100,0.5,10,0.315480344266108,0.22863229072448,0.33699697604094,0.224723625979741,439,2,51,14.5816395,1.3910443,15.9726838
Wikifea,100,1000,0.5,10,0.301639916259595,0.205044920339011,0.326762037683182,0.213773139554548,439,2,51,14.612987,1.3910443,16.0040313
Wikifea,100,10000,0.5,10,0.323854384740637,0.241474004658225,0.352465689695278,0.231309887689786,439,2,51,14.4907428,1.3910443,15.8817871
Wikifea,1,100,0.5,20,0.290648988136776,0.156690525524575,0.323912537799488,0.187063008302941,229,2,51,12.7138805,4.2358733,16.9497538
Wikifea,1,1000,0.5,20,0.328332170272156,0.208082466916786,0.359909281228193,0.214258166366475,229,2,51,12.2277382,4.2358733,16.4636115
Wikifea,1,10000,0.5,20,0.29739474296348,0.155834364587385,0.320074435915329,0.18996687956644,229,2,51,11.9422151,4.2358733,16.1780884
Wikifea,10,100,0.5,20,0.151372412188881,0.025521903949623,0.175273319376599,0.151654337981592,229,2,51,10.8156363,4.2358733,15.0515096
Wikifea,10,1000,0.5,20,0.1493370551291,0.0283774144401462,0.175680390788555,0.149560603274216,229,2,51,11.1809573,4.2358733,15.4168306
Wikifea,10,10000,0.5,20,0.157711095603629,0.0272347801871868,0.1785880437311,0.15166009816595,229,2,51,10.8170586,4.2358733,15.0529319
Wikifea,100,100,0.5,20,0.290183763665969,0.17621046592886,0.314782507559898,0.209368165738484,229,2,51,10.3100389,4.2358733,14.5459122
Wikifea,100,1000,0.5,20,0.295824610374506,0.185699623946351,0.321702721563154,0.216713693572966,229,2,51,11.2898806,4.2358733,15.5257539
Wikifea,100,10000,0.5,20,0.270993254245173,0.154109352812075,0.293265875785066,0.196510831125886,229,2,51,10.681421,4.2358733,14.9172943
Wikifea,1,100,0.5,40,0.171318911374738,0.0326483415130422,0.190044196324727,0.144244746324845,117,2,51,10.6380014,3.2272936,13.865295
Wikifea,1,1000,0.5,40,0.167713421725983,0.0323179195542964,0.190858339148639,0.146100272061975,117,2,51,10.6231896,3.2272936,13.8504832
Wikifea,1,10000,0.5,40,0.165794370783903,0.032329716056875,0.188822982088858,0.138551789427449,117,2,51,8.8251074,3.2272936,12.052401
Wikifea,10,100,0.5,40,0.290823447313329,0.216354615763853,0.333856710862991,0.240981356742156,117,2,51,8.7293254,3.2272936,11.956619
Wikifea,10,1000,0.5,40,0.28117003954408,0.210779011011683,0.323272854152128,0.239744813623173,117,2,51,9.2457667,3.2272936,12.4730603
Wikifea,10,10000,0.5,40,0.265003489183531,0.191142716859865,0.310653640381484,0.222667775506,117,2,51,9.0667147,3.2272936,12.2940083
Wikifea,100,100,0.5,40,0.496336357292394,0.481073891245133,0.554780181437544,0.380547782497965,117,2,51,8.8671315,3.2272936,12.0944251
Wikifea,100,1000,0.5,40,0.497906489881368,0.476091045752485,0.549662712258665,0.380091558730681,117,2,51,7.7760319,3.2272936,11.0033255
Wikifea,100,10000,0.5,40,0.478774133519423,0.46924517705475,0.541695743196092,0.368759961245866,117,2,51,7.6073959,3.2272936,10.8346895
Wikifea,1,100,1,10,0.402186555012794,0.276502331170651,0.442602930914166,0.28727733739195,270,2,51,10.6838603,4.1677554,14.8516157
Wikifea,1,1000,1,10,0.431263084438241,0.340390787291438,0.489299837171435,0.327482786916719,270,2,51,10.1595794,4.1677554,14.3273348
Wikifea,1,10000,1,10,0.358106536403815,0.233894648823035,0.387997208653175,0.233897940895614,270,2,51,10.1761328,4.1677554,14.3438882
Wikifea,10,100,1,10,0.230286113049546,0.129806885829788,0.266166550360549,0.180622059869889,270,2,51,10.0357338,4.1677554,14.2034892
Wikifea,10,1000,1,10,0.198127471505001,0.0712010109779316,0.214235868806699,0.157597378711451,270,2,51,9.4852904,4.1677554,13.6530458
Wikifea,10,10000,1,10,0.192544777855315,0.0609789628083091,0.210223307745987,0.163961695654011,270,2,51,9.4492754,4.1677554,13.6170308
Wikifea,100,100,1,10,0.316178180972319,0.234797436187432,0.352000465224471,0.236145656162657,270,2,51,9.3648521,4.1677554,13.5326075
Wikifea,100,1000,1,10,0.296464294021866,0.193957305170215,0.330483833449639,0.221885419451943,270,2,51,9.2676492,4.1677554,13.4354046
Wikifea,100,10000,1,10,0.298150732728542,0.188638547814701,0.324959292858804,0.216984635279987,270,2,51,9.3295605,4.1677554,13.4973159
Wikifea,1,100,1,20,0.373633403117004,0.232395951811643,0.403465922307513,0.252319952669723,187,2,51,9.4060763,3.2915739,12.6976502
Wikifea,1,1000,1,20,0.305303558967202,0.15967541716132,0.324086996976041,0.194045872047605,187,2,51,8.9776125,3.2915739,12.2691864
Wikifea,1,10000,1,20,0.350197720400093,0.214833604044272,0.371888811351477,0.224704873361488,187,2,51,9.115426,3.2915739,12.4069999
Wikifea,10,100,1,20,0.299953477552919,0.228567971474675,0.326994649918586,0.214568921172042,187,2,51,8.7018411,3.2915739,11.993415
Wikifea,10,1000,1,20,0.286578274017213,0.201537679283187,0.30193068155385,0.20233787385719,187,2,51,9.1528285,3.2915739,12.4444024
Wikifea,10,10000,1,20,0.306350314026518,0.233966825178724,0.339846475924634,0.217791138941147,187,2,51,9.1810689,3.2915739,12.4726428
Wikifea,100,100,1,20,0.294487090020935,0.179332612986476,0.312223772970458,0.229896549242259,187,2,51,8.5997716,3.2915739,11.8913455
Wikifea,100,1000,1,20,0.276343335659456,0.178233927282001,0.307629681321238,0.218322463784271,187,2,51,8.4258099,3.2915739,11.7173838
Wikifea,100,10000,1,20,0.29221912072575,0.193502601978642,0.320074435915329,0.239611515485122,187,2,51,8.1598656,3.2915739,11.4514395
