dataset,beta,lambda,lambdaBIC,minNodeSize,ACC,NMI,Purity,Fscore,anchorTotal,targetView,iter,algoTime,anchorTime,totalTime
MFeat_2Views,10,1000,1,20,0.5338125,0.540807955834233,0.56625,0.353802404442056,154,1,51,7.4339281,0,7.4339281
MFeat_2Views,10,10000,1,20,0.5338125,0.540807955834233,0.56625,0.353802404442056,154,1,51,7.3803834,0,7.3803834
MFeat_2Views,10,100000,1,20,0.5338125,0.540807955834233,0.56625,0.353802404442056,154,1,51,7.5747507,0,7.5747507
MFeat_2Views,100,1000,1,20,0.826,0.80803853788261,0.844625,0.759251359548921,154,1,51,6.3920816,0,6.3920816
MFeat_2Views,100,10000,1,20,0.826,0.80803853788261,0.844625,0.759251359548921,154,1,51,6.1400958,0,6.1400958
MFeat_2Views,100,100000,1,20,0.826,0.80803853788261,0.844625,0.759251359548921,154,1,51,6.4399797,0,6.4399797
MFeat_2Views,1,1000,1,40,0.50075,0.460544825115771,0.5176875,0.351022825806406,74,1,51,5.9037076,1.4752799,7.3789875
MFeat_2Views,1,10000,1,40,0.5145,0.489391374754987,0.534,0.373855531668531,74,1,51,5.6788078,1.4752799,7.1540877
MFeat_2Views,1,100000,1,40,0.5145,0.489391374754987,0.534,0.373855531668531,74,1,51,5.7387982,1.4752799,7.2140781
MFeat_2Views,10,1000,1,40,0.6651875,0.650346863799549,0.684625,0.525045604443786,74,1,51,5.7713201,1.4752799,7.2466
MFeat_2Views,10,10000,1,40,0.6651875,0.650346863799549,0.684625,0.525045604443786,74,1,51,5.7895882,1.4752799,7.2648681
MFeat_2Views,10,100000,1,40,0.6651875,0.650346863799549,0.684625,0.525045604443786,74,1,51,5.9734985,1.4752799,7.4487784
MFeat_2Views,100,1000,1,40,0.8995,0.848340910139354,0.905,0.834523982593832,74,1,26,2.5484138,1.4752799,4.0236937
MFeat_2Views,100,10000,1,40,0.8995,0.848340910139354,0.905,0.834523982593832,74,1,26,2.7260778,1.4752799,4.2013577
MFeat_2Views,100,100000,1,40,0.8995,0.848340910139354,0.905,0.834523982593832,74,1,26,2.6632975,1.4752799,4.1385774
MFeat_2Views,1,1000,2,10,0.48275,0.466173857669565,0.508,0.320495775444206,106,1,51,6.8247718,1.948208,8.7729798
MFeat_2Views,1,10000,2,10,0.4921875,0.472628977101265,0.5145,0.322391688510395,106,1,51,6.4515009,1.948208,8.3997089
MFeat_2Views,1,100000,2,10,0.4921875,0.472628977101265,0.5145,0.322391688510395,106,1,51,6.3614375,1.948208,8.3096455
MFeat_2Views,10,1000,2,10,0.595375,0.599266781905658,0.6283125,0.427440653415839,106,1,51,6.3990791,1.948208,8.3472871
MFeat_2Views,10,10000,2,10,0.6136875,0.609590771115062,0.6409375,0.448503832647589,106,1,51,6.695359,1.948208,8.643567
MFeat_2Views,10,100000,2,10,0.6136875,0.609590771115062,0.6409375,0.448503832647589,106,1,51,6.7201594,1.948208,8.6683674
MFeat_2Views,100,1000,2,10,0.8634375,0.821214235964155,0.874375,0.786435637497323,106,1,43,4.412966,1.948208,6.361174
MFeat_2Views,100,10000,2,10,0.8634375,0.821214235964155,0.874375,0.786435637497323,106,1,43,3.0074302,1.948208,4.9556382
MFeat_2Views,100,100000,2,10,0.8634375,0.821214235964155,0.874375,0.786435637497323,106,1,43,1.5941279,1.948208,3.5423359
MFeat_2Views,1,1000,2,20,0.50925,0.496780438937218,0.5355625,0.347106554447118,98,1,51,2.1566552,0.3327747,2.4894299
MFeat_2Views,1,10000,2,20,0.4958125,0.473535024270053,0.51575,0.332594874851087,98,1,51,2.0446257,0.3327747,2.3774004
