beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,SelectedTargetView,TargetView_mode,AnchorCounts_mode,AnchorCounts_mean
20,100000,0.160054889404385,0,0.405406500192105,0,0.215846048289607,0,0.111699684705389,0,0.111327496730606,0,0.112089317128447,0,0.106436516023347,0,7.67386266598145,0,79.9714622,0,51,0,147249168,0,1,1,"53,70,45,79","53,70,45,79"
20,300000,0.16345607214036,0,0.409735234566746,0,0.219717711634593,0,0.116236943329148,0,0.115474482180056,0,0.117034252822834,0,0.11098317135596,0,7.66832583362043,0,79.9966107,0,51,0,147249168,0,1,1,"53,70,45,79","53,70,45,79"
20,1000000,0.164050707354527,0,0.407498136244762,0,0.22020126114941,0,0.115527697065334,0,0.115022613428104,0,0.116058026104694,0,0.110281089659788,0,7.67238859013281,0,79.2243515,0,51,0,147249168,0,1,1,"53,70,45,79","53,70,45,79"
30,100000,0.173542000196034,0,0.413052334743645,0,0.228921488548371,0,0.116167812840798,0,0.119994362924677,0,0.112601915226454,0,0.111115438499298,0,7.74348163391666,0,80.9257269,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,300000,0.180739700068612,0,0.416494338362488,0,0.235305649034535,0,0.117138092776087,0,0.121842360026902,0,0.112803137245778,0,0.112126992195931,0,7.75314828787847,0,80.1522677,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
30,1000000,0.176721011533309,0,0.416437531223207,0,0.232401084719182,0,0.11663518373014,0,0.121708108978636,0,0.111987997206522,0,0.111637124820799,0,7.7599480699965,0,79.8528287,0,51,0,146990880,0,1,1,"53,70,45,79","53,70,45,79"
50,100000,0.168311170647238,0,0.396104967223772,0,0.22410232953246,0,0.111932108745632,0,0.122362689177284,0,0.103150406097663,0,0.107136494421128,0,7.82267865162864,0,81.1308034,0,51,0,147980704,0,1,1,"53,70,45,79","53,70,45,79"
50,300000,0.168311170647238,0,0.396104967223772,0,0.22410232953246,0,0.111932108745632,0,0.122362689177284,0,0.103150406097663,0,0.107136494421128,0,7.82267865162864,0,81.6640141,0,51,0,147980704,0,1,1,"53,70,45,79","53,70,45,79"
50,1000000,0.168311170647238,0,0.396104967223772,0,0.22410232953246,0,0.111932108745632,0,0.122362689177284,0,0.103150406097663,0,0.107136494421128,0,7.82267865162864,0,81.1624649,0,51,0,147980704,0,1,1,"53,70,45,79","53,70,45,79"
80,100000,0.161933544613977,0,0.386738256558621,0,0.218041624464992,0,0.104264401914452,0,0.116831711833816,0,0.0941451117954639,0,0.0995453005147881,0,7.85795646751671,0,96.3637743,0,51,0,155852336,0,1,1,"53,70,45,79","53,70,45,79"
80,300000,0.160659326297906,0,0.386464774571195,0,0.217348972457281,0,0.104286216134876,0,0.117024956965003,0,0.094055170824225,0,0.0995731331668982,0,7.85910773897099,0,88.107649,0,51,0,155852336,0,1,1,"53,70,45,79","53,70,45,79"
80,1000000,0.160659326297906,0,0.386464774571195,0,0.217348972457281,0,0.104286216134876,0,0.117024956965003,0,0.094055170824225,0,0.0995731331668982,0,7.85910773897099,0,81.9404366,0,51,0,155852336,0,1,1,"53,70,45,79","53,70,45,79"
