beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,TargetView_mode
0.01,100,0.29645847871598,0.00165304097486036,0.173837379063192,0.00131840300734654,0.324916259595255,0.00282744023461193,0.195138344786781,0.000387110671712312,0.148603007674293,0.00137717181972133,0.285794745098394,0.00336213206533623,0.0623369229998787,0.00154838008834284,2.80347186795855,0.0182291681363529,11.0333699,9.85288443749483,51,0,344326.696472358,72.1239452568751,1
0.01,1000,0.297274947662247,0.000251656984232493,0.166555643461616,0.0058092697388116,0.320806001395673,0.00482095830578685,0.194361608354614,0.000419810857939315,0.148863947816169,0.000891919666461442,0.281066757684118,0.00118889506045986,0.062375493685368,0.00104660275048734,2.82280104384118,0.00889940937900102,3.9533244,0.0192508406964475,51,0,344326.696472358,72.1239452568751,1
0.01,10000,0.297274947662247,0.000251656984232493,0.166555643461616,0.0058092697388116,0.320806001395673,0.00482095830578685,0.194361608354614,0.000419810857939315,0.148863947816169,0.000891919666461442,0.281066757684118,0.00118889506045986,0.062375493685368,0.00104660275048734,2.82280104384118,0.00889940937900102,3.97060185,0.044512301165015,51,0,344326.696472358,72.1239452568751,1
0.01,100000,0.296378227494766,0.00101649683827236,0.165951357146662,0.00666385964097515,0.319947662247034,0.00603483317090822,0.193788437865654,0.00123039633697838,0.148431758675923,0.00150312741010858,0.280518098759963,0.000412974168801911,0.0616694715742602,0.00204506879535121,2.82263354497237,0.00913628855096128,4.0219527,0.0139666317206404,51,0,344326.696472358,72.1239452568751,1
0.01,1000000,0.296378227494766,0.00101649683827236,0.165951357146662,0.00666385964097515,0.319947662247034,0.00603483317090822,0.193788437865654,0.00123039633697838,0.148431758675923,0.00150312741010858,0.280518098759963,0.000412974168801911,0.0616694715742602,0.00204506879535121,2.82263354497237,0.00913628855096128,4.04424745,0.0591754330651245,51,0,344326.696472358,72.1239452568751,1
0.1,100,0.260383810188416,0.0440942511980669,0.138575577694866,0.037476192486472,0.280157013258897,0.0512936147273843,0.187315813264656,0.00811929198046772,0.137795293376241,0.0106881401605456,0.297569472385094,0.0113611210918454,0.0473932036151133,0.0151429798210306,2.66591565026564,0.150597339153624,3.8470468,0.0276135097548286,51,0,349816.489849692,7114.95857201445,1
0.1,1000,0.254183531053733,0.0525074895925056,0.131362609064931,0.046761300607689,0.273611304954641,0.0588038486489887,0.183012328260637,0.0126059024053077,0.135491579886829,0.0141832422065117,0.28640068172674,0.00430574879177514,0.0433572045469979,0.020584103822938,2.69739407527628,0.141462570375864,3.89460245,0.149278373236464,51,0,349816.489849692,7114.95857201445,1
0.1,10000,0.252923935799023,0.0542888262848178,0.129495070837726,0.0494023984968528,0.273091416608514,0.0595390817990013,0.183094551711496,0.0124896208859578,0.135720331378555,0.0138597387444999,0.286464085025972,0.0043954145974481,0.0436321045260773,0.0201953365442279,2.69594426783044,0.143512907728599,3.87439515,0.067768760355528,51,0,349816.489849692,7114.95857201445,1
0.1,100000,0.252923935799023,0.0542888262848178,0.129495070837726,0.0494023984968528,0.273091416608514,0.0595390817990013,0.183094551711496,0.0124896208859578,0.135720331378555,0.0138597387444999,0.286464085025972,0.0043954145974481,0.0436321045260773,0.0201953365442279,2.69594426783044,0.143512907728599,3.85034185,0.0905554178006208,51,0,349816.489849692,7114.95857201445,1
0.1,1000000,0.252923935799023,0.0542888262848178,0.129495070837726,0.0494023984968528,0.273091416608514,0.0595390817990013,0.183094551711496,0.0124896208859578,0.135720331378555,0.0138597387444999,0.286464085025972,0.0043954145974481,0.0436321045260773,0.0201953365442279,2.69594426783044,0.143512907728599,4.0107731,0.170719052923568,51,0,349816.489849692,7114.95857201445,1
