beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,SelectedTargetView,TargetView_mode,AnchorCounts_mode,AnchorCounts_mean
22,20000,0.174466625281798,0,0.415052613036054,0,0.225435357924658,0,0.120708722777096,0,0.119056629651928,0,0.122426821168338,0,0.115441545586408,0,7.66003562139087,0,81.5910752,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,30000,0.173983075766981,0,0.417346255657415,0,0.226307707387199,0,0.120028595844173,0,0.118517566859367,0,0.121591613458863,0,0.114763420031927,0,7.66377958139549,0,80.2190253,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,50000,0.17362368085732,0,0.418866625217738,0,0.225164178129186,0,0.121311490853099,0,0.120329488653728,0,0.122318339414831,0,0.116077971391569,0,7.67490481102281,0,80.2636519,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,80000,0.176642598098474,0,0.416790669568505,0,0.227480641683275,0,0.119586301644068,0,0.118798757358241,0,0.120396060192831,0,0.114350659713278,0,7.67281099659361,0,80.8276436,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,120000,0.168824125200118,0,0.4104567485766,0,0.219613160388147,0,0.114999863845013,0,0.113281289107236,0,0.116781807348185,0,0.109691906091595,0,7.65717627718776,0,80.9558306,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,200000,0.170696245956807,0,0.413881445616247,0,0.220933119874538,0,0.118012066455098,0,0.116595467934482,0,0.119480036485351,0,0.11273759699256,0,7.66540369456405,0,80.0632477,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,300000,0.173564870781194,0,0.415692366106198,0,0.224579344594374,0,0.119193169268023,0,0.118118069420323,0,0.120297357793109,0,0.113942251887075,0,7.67021312614455,0,79.30311,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,600000,0.165481752540269,0,0.406966589867385,0,0.216868690168916,0,0.111439677919289,0,0.109836545474599,0,0.113100189661296,0,0.106113854730499,0,7.65867939301203,0,78.9370388,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
22,1000000,0.175966282223021,0,0.416866454074402,0,0.226618093900088,0,0.120911499838954,0,0.119965837269187,0,0.121895573224638,0,0.115677057792429,0,7.66977228508339,0,78.6933392,0,51,0,146218304,0,1,1,"53,70,45,79","53,70,45,79"
24,20000,0.172940830528964,0,0.411513151904223,0,0.22651027542719,0,0.118048172407434,0,0.120010176441687,0,0.116154074627739,0,0.112924364494591,0,7.7156590517271,0,78.975217,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,30000,0.175463129349495,0,0.411803183951632,0,0.229679485085111,0,0.119651182507843,0,0.121817639279148,0,0.117574480321868,0,0.11454403076166,0,7.71731766209233,0,78.8612134,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,50000,0.171921455876107,0,0.411313573848058,0,0.225177247034992,0,0.118046879060982,0,0.120311421990107,0,0.115870582431409,0,0.112935568951031,0,7.72064691389216,0,76.3103818,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,80000,0.1723527297677,0,0.410535313882757,0,0.225546443624008,0,0.118463831418911,0,0.120716879595628,0,0.116300983061359,0,0.113354472035737,0,7.7201528386247,0,77.1834974,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,120000,0.169373019243964,0,0.407423443115483,0,0.221900218904172,0,0.116499549515176,0,0.118090314228241,0,0.114961175238385,0,0.111350989642783,0,7.71170950757968,0,76.7694583,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,200000,0.168899271408501,0,0.408196523648114,0,0.222014571829974,0,0.115551884839041,0,0.116774640062419,0,0.114365143620171,0,0.110381634324358,0,7.71137418758205,0,78.2154339,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,300000,0.173702094292155,0,0.411338406467009,0,0.226660567843957,0,0.118501724215058,0,0.119739849170369,0,0.117298695274245,0,0.113348552101254,0,7.70845803851446,0,78.803674,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,600000,0.171653543307087,0,0.410522146432752,0,0.224817852125331,0,0.116849590932132,0,0.11815966711181,0,0.11557836516107,0,0.11169021614565,0,7.7101344644198,0,78.4332835,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
24,1000000,0.174718201718561,0,0.411329323432115,0,0.227356487078119,0,0.119968525382563,0,0.121355022734377,0,0.118632540963314,0,0.114830021887603,0,7.71214085455798,0,78.0086148,0,51,0,145856352,0,1,1,"53,70,45,79","53,70,45,79"
26,20000,0.161681968177214,0,0.396803853475219,0,0.21857418237658,0,0.10818949813598,0,0.111008631084009,0,0.105516100851676,0,0.103056059693803,0,7.72411381253696,0,78.3024214,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,30000,0.161636227006894,0,0.397010473737018,0,0.218858431077858,0,0.106336251605038,0,0.109087975977234,0,0.103735785854692,0,0.101190031865183,0,7.7262314066849,0,78.5260486,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,50000,0.157865847681903,0,0.394857569511259,0,0.214356193027739,0,0.104526805757491,0,0.106737038489234,0,0.102419790212866,0,0.0993461683470137,0,7.71721282187256,0,78.8241757,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,80000,0.159045316430882,0,0.395579319205137,0,0.216457019636031,0,0.104605740923405,0,0.107308733759961,0,0.102049229048825,0,0.0994499964349595,0,7.72593329516914,0,78.4968365,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,120000,0.161979285784298,0,0.396824925254501,0,0.218917241153984,0,0.105820113718428,0,0.108538336902345,0,0.103243400844805,0,0.100670812015664,0,7.72494914434269,0,78.1240192,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
26,200000,0.15950926258699,0,0.39490200064788,0,0.216362270068938,0,0.106373039069523,0,0.108742496085438,0,0.104123251849625,0,0.101209537816404,0,7.72035410753681,0,77.4413879,0,51,0,147638032,0,1,1,"53,70,45,79","53,70,45,79"
