beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,TargetView_mode
10,10000,0.172117489463195,0,0.416062308975148,0,0.221880615545463,0,0.112661140580534,0,0.109528893776813,0,0.116005348470367,0,0.107268090364761,0,7.62824326018541,0,78.6024239,0,51,0,144260176,0,1
10,100000,0.173522396837325,0,0.416190409370176,0,0.222174665926095,0,0.110889410038503,0,0.107844215221184,0,0.114173955435957,0,0.105487774960353,0,7.62892299137048,0,77.0862749,0,51,0,144260176,0,1
100,10000,0.133642630770739,0,0.348492421003492,0,0.183428627438168,0,0.0714461046772052,0,0.0811168098998361,0,0.0638420572561169,0,0.0666170825792425,0,7.87700638453599,0,80.4689297,0,51,0,172308304,0,1
100,100000,0.134256869343614,0,0.348599849127222,0,0.183533178684615,0,0.0711532381371121,0,0.0806672770907932,0,0.063653959202281,0,0.0663161975235798,0,7.87489061591435,0,78.7009757,0,51,0,172308304,0,1
