beta,lambda,ACC_mean,ACC_std,NMI_mean,NMI_std,Purity_mean,Purity_std,Fscore_mean,Fscore_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AR_mean,AR_std,Entropy_mean,Entropy_std,Time_mean,Time_std,Iter_mean,Iter_std,FinalObj_mean,FinalObj_std,TargetView_mode
0.01,100,0.179920166229221,0.106008792875918,0.330230923103914,0.155760730555547,0.299825021872266,0.15356218789154,0.163618934986992,0.115285067753008,0.207138655829223,0.16705837969037,0.136523400507394,0.0853002758627137,0.143210305516207,0.121043203276469,6.05609680501372,0.212775376368778,61.6605407,0.682022733809383,40,0,33484892.5430144,47087.9768791924,5
0.01,1000,0.181469816272966,0.108200328984713,0.330157627018956,0.15565707423813,0.302761373578303,0.157714816298115,0.161311605802683,0.112022011527699,0.207577993047775,0.167679696343302,0.133431712034001,0.0809279680930084,0.141026998135126,0.117955540367314,6.06892804360456,0.230921488005976,61.364632,1.2228042821893,40,0,33484892.5430144,47087.9768791924,5
0.01,10000,0.180544619422572,0.106891903051022,0.329618746581027,0.154894982214314,0.300779746281715,0.154912372099712,0.157193905570087,0.106198704012976,0.19892444211755,0.155441727255092,0.13123135174526,0.0778161887305643,0.136657148405524,0.111775639614179,6.05404526194324,0.209874056334705,60.9843161,1.4672083871959,40,0,33484892.5430144,47087.9768791924,5
0.01,100000,0.18074365704287,0.107173384753069,0.329808613874331,0.155163495115555,0.300261373578303,0.154179282392182,0.156954729812355,0.105860458412599,0.200200820601501,0.157246799017816,0.13046552159057,0.0767331413393277,0.136497959458124,0.111550512445786,6.06103646039758,0.219761104006078,61.1203045,1.3754636865,40,0,33484892.5430144,47087.9768791924,5
0.01,1000000,0.180773184601925,0.107215143027548,0.329701737850547,0.155012349593228,0.300158573928259,0.154033901732883,0.157313985057265,0.106368522052306,0.200678264955482,0.157922007298495,0.130776990442411,0.0771736248138578,0.136870441245346,0.112077281241012,6.06222586954854,0.221443182558577,61.18568255,1.17418312494016,40,0,33484892.5430144,47087.9768791924,5
0.1,100,0.178581583552056,0.106469680497951,0.329786545066889,0.152686096502787,0.299987970253718,0.15240687563094,0.162868471337165,0.116323990438124,0.208522673858295,0.167711721389188,0.134583642279654,0.0870050713476484,0.14283231200766,0.121661954334935,6.08867049924343,0.174492268944894,61.2654802,0.432331732821198,39,0,33489496.1009763,47096.6962948738,5
0.1,1000,0.178424103237095,0.106246969700727,0.330697762701489,0.153974752839912,0.302630139982502,0.156143467895478,0.15860515249767,0.11029474711459,0.206154026716865,0.164361948477301,0.13004284055652,0.080583407966744,0.138659310388183,0.115760438848866,6.1001732509702,0.1907596164415,60.10128055,0.79736408276822,39,0,33489496.1009763,47096.6962948738,5
0.1,10000,0.179242125984252,0.107403828564085,0.330352261139221,0.153486139844732,0.302781058617673,0.156356899076151,0.156518282268308,0.107343466933313,0.201298501553222,0.157495198938434,0.129087523324916,0.0792323853814421,0.136424650038079,0.112600151874452,6.09360706828404,0.181473631833725,60.3056567,0.61786438996791,39,0,33489496.1009763,47096.6962948738,5
0.1,100000,0.180733814523185,0.10951339472668,0.329745225249144,0.152627661456137,0.301583552055993,0.154663369055593,0.15586810742345,0.106423980849801,0.200583194288194,0.156483601702967,0.128513932098907,0.0784212048903613,0.135763158619156,0.111664661738417,6.09285957621567,0.18041651841287,60.0758969,0.349445948722714,39,0,33489496.1009763,47096.6962948738,5
0.1,1000000,0.180830052493438,0.109649495769428,0.329544329961313,0.152343552615469,0.301262029746282,0.154208667844594,0.155737404589752,0.106239139129746,0.200223605299205,0.15597506607786,0.128474412449921,0.0783653156667851,0.13561949647321,0.111461492783221,6.09160549890247,0.178642985268266,60.13478765,0.033727367117002,39,0,33489496.1009763,47096.6962948738,5
1,100,0.172484689413823,0.118927565717674,0.336324433170822,0.150720871071654,0.304075896762905,0.155939316331356,0.149454549824983,0.125749901143831,0.208252276823754,0.171784539633703,0.116658946193654,0.0992281033998237,0.132154770906732,0.127895672088558,6.31641304138439,0.0658161783169122,66.00763225,2.0726410621331,45,4.24264068711928,33532620.7592497,47462.0790795315,5
1,1000,0.173338801399825,0.120135462472064,0.335696921190323,0.149833435118281,0.306093613298338,0.15879279842079,0.146864521195869,0.122087047529605,0.20658261482195,0.169423280986173,0.114016539988058,0.0954911767065715,0.129588634675153,0.124266607426961,6.32350286681038,0.0557896510446234,65.8425071,1.91107402156774,45,4.24264068711928,33532620.7592497,47462.0790795315,5
1,10000,0.175904418197725,0.123763792543506,0.337982230680083,0.153065350792919,0.308996062992126,0.162897482141851,0.146239807462633,0.121203568895461,0.204027146748506,0.165809303378497,0.11406053564285,0.095553395958264,0.128868443774375,0.123248103687583,6.31267487962284,0.071102737378439,65.62376415,1.86293171703083,45,4.24264068711928,33532620.7592497,47462.0790795315,5
1,100000,0.176496062992126,0.124600504635855,0.338051097282051,0.153162742875418,0.308914041994751,0.162781486934963,0.147830171566577,0.123452683380371,0.205763825905931,0.168265338596418,0.115459385130997,0.0975316678761202,0.130473796291857,0.125518414990197,6.31131490168789,0.0730260366185763,65.85912505,1.5198306374557,45,4.24264068711928,33532620.7592497,47462.0790795315,5
1,1000000,0.176429352580927,0.124506161867587,0.338107041736143,0.153241860281133,0.308895450568679,0.162755194688069,0.147846364594332,0.123475583779837,0.206030453407683,0.168642406825497,0.115387616157447,0.0974301712203671,0.130502118372498,0.125558468460753,6.31260219162162,0.071205533735586,65.8153531,1.70313725174457,45,4.24264068711928,33532620.7592497,47462.0790795315,5
10,100,0.184917979002625,0.139189608456793,0.360698135583431,0.15025434236835,0.332214566929134,0.156115629045825,0.154047736073826,0.123040119774793,0.248977854210722,0.182688951711188,0.111758815480695,0.0922148406359832,0.13964824559524,0.123804360563244,6.50777087713331,0.111326256473496,77.81774735,4.02182856347087,50,1.4142135623731,33876194.2373756,48130.0582623785,5
10,1000,0.187347987751531,0.142292093590345,0.35952028060275,0.144060764382894,0.328727034120735,0.150202966700077,0.156559667721778,0.12576169060023,0.248014726758938,0.181013930326735,0.114690964498564,0.0956064384709037,0.14197977699919,0.126405097989346,6.48837509262791,0.132490805677648,76.53015025,7.38198598695508,50,1.4142135623731,33876194.2373756,48130.0582623785,5
